762506,76.77513357,13.805793,0.528782724,76.77513357,53006,9.7,62.4,27.9,28.2
720418,81.69840287,12.73649465,0.340219151,81.69840287,46062,13.8,62.8,23.4,30.6
732088,76.27348078,15.53501765,0.225519336,76.27348078,45970,11.8,62.3,25.9,40.2
778620,81.97785826,8.817009581,0.243122447,81.97785826,68229,6.5,54.3,39.2,34.1
728346,44.9786228,47.69340396,0.306722354,44.9786228,40932,15.8,62.8,21.4,61.3
765005,84.13056124,10.25927935,0.347710146,84.13056124,46882,10.4,65.7,23.9,39.9
762326,77.89764484,10.66079341,0.156625905,77.89764484,57146,8.2,54,37.8,51.4
744430,83.20231587,9.287239902,0.230108942,83.20231587,50752,9.3,61.7,29,37.7
832753,74.55235826,14.08652986,0.218191949,74.55235826,49899,14.1,61.3,24.6,54.8
791447,57.053852,28.20909044,0.10423945,57.053852,50151,14.1,55.6,30.3,61.8
758331,86.94606972,8.446839177,0.196747858,86.94606972,43610,11.7,67.7,20.6,32.5
760472,88.55000579,4.870659275,0.31480449,88.55000579,49774,10,63.1,26.9,38.8
728996,79.00345132,12.26783137,0.282580426,79.00345132,48519,10.2,62,27.8,49.6
769968,68.89091495,19.60808761,0.369625751,68.89091495,51410,11.6,53.1,35.3,57
762822,76.08708191,13.90403004,0.250779343,76.08708191,53784,12.4,61.8,25.8,43.1
803454,83.74020168,7.739459882,0.31962004,83.74020168,55447,10.3,59,30.7,43
768138,86.78609833,7.517399217,0.243576024,86.78609833,45508,12.8,65.9,21.3,35
754652,81.31456618,12.44613411,0.310076698,81.31456618,54913,10.4,59.1,30.5,44.1
799332,86.00306256,7.992548778,0.122977686,86.00306256,54812,11.8,55.9,32.3,37.5
794621,39.52450288,52.98777656,0.365205551,39.52450288,43677,19.6,60.7,19.7,80.2
758201,76.81103032,16.17565791,0.120152835,76.81103032,55864,13.3,52.4,34.3,58.6
737019,75.10946122,15.83934743,0.273398651,75.10946122,60159,9.2,52.9,37.9,56
749377,74.20470604,13.40593586,0.277830785,74.20470604,61513,7.8,53.6,38.6,61.9
749624,42.26492215,48.70388355,0.323228712,42.26492215,38441,22.1,58.5,19.4,82.9
763628,89.56690954,4.618479155,0.175347159,89.56690954,46247,22.9,54.4,22.7,47.9
788816,81.25519766,11.24368674,0.056033346,81.25519766,54453,16.4,56.4,27.2,56.8
747049,85.50871496,5.211706327,0.225821867,85.50871496,51958,15.8,46.7,37.5,58.5